Producto,Marca,Presentación,Precio oficial,Precio real,Fecha,Fuente
Oreos,Terrabusi,118 g,2200,,25-5-2026,PreciosClaros
Pepitos,Terrabusi,119 g,2150,1300,25-5-2026,PreciosClaros
Surtidos,Terrabusi,390 g,3600,,25-5-2026,PreciosClaros
9 de oro,Arcor,200 g,1350,,25-5-2026,PreciosClaros
Don Satur,Don Satur,200 g,1400,,25-5-2026,PreciosClaros
Pitusas,Bagley,160g,1700,,25-5-2026,PreciosClaros
Pepas,Arcor,300g,2300,,25-5-2026,PreciosClaros
Chocolinas,Bagley,170 g,1800,,25-5-2026,PreciosClaros
Sonrisas,Bagley,108 g,1500,,25-5-2026,PreciosClaros
Merengadas,Bagley,88 g (,1600,,25-5-2026,PreciosClaros
Criollitas,Bagley,100g (,700,,25-5-2026,PreciosClaros
